header,log2FoldChange,pvalue,padj
sss-let-7k-3p,-0.122271111103078,0.519324224771197,0.997012493975444
ss-let-7c,-0.17536921772455,0.329976248096372,0.997012493975444
ss-let-7d,-0.498651436171086,0.0112943349193243,0.424949351339577
ss-let-7e,-0.332679693654895,0.0547554243584479,0.807293488688478
ss-let-7f,0.209412273631748,0.161659423156213,0.997012493975444
ss-let-7g,0.0994194242396905,0.342608500313248,0.997012493975444
ss-let-7i,0.0383568812008711,0.85029134811791,0.997012493975444
ss-miR-1,0.0555076076388629,0.691829516304376,0.997012493975444
ss-miR-100,0.169511753792571,0.356453753697041,0.997012493975444
ss-miR-101,0.340041268168107,0.126046364662982,0.997012493975444
ss-miR-103,-0.14268034627159,0.280964534669226,0.997012493975444
ss-miR-106k,-0.0379379076683629,0.619451344820592,0.997012493975444
ss-miR-106z,-0.00059847000359998,0.997012493975444,0.997012493975444
ss-miR-107,-0.145907890689179,0.330769129199488,0.997012493975444
ss-miR-10k,0.41953524174582,0.0107646565161248,0.424949351339577
ss-miR-10z,0.362559351401319,0.0407482991273033,0.807293488688478
ss-miR-1185,0.0532787271575798,0.605946073236786,0.997012493975444
ss-miR-1224,-0.00174395756516938,0.981155806980037,0.997012493975444
ss-miR-1247-3p,0.00269957048316127,0.991035067192992,0.997012493975444
ss-miR-1249,0.0477975256644149,0.836451337626888,0.997012493975444
ss-miR-124k,-0.00174395756516937,0.981155806980037,0.997012493975444
ss-miR-125k,-0.0350671518320445,0.859508778388036,0.997012493975444
ss-miR-125z,-0.101097997184196,0.586970085429576,0.997012493975444
ss-miR-126-3p,0.163472045947807,0.425358721334404,0.997012493975444
ss-miR-127,-0.201142119662987,0.322754187367203,0.997012493975444
ss-miR-1271,0.5986515613758,0.0111355108395909,0.424949351339577
ss-miR-128,0.161797296627313,0.433222668677788,0.997012493975444
ss-miR-1296,-0.275728584670206,0.213410388190999,0.997012493975444
ss-miR-1306,0.147497479011837,0.269605035920832,0.997012493975444
ss-miR-1307,-0.0514584771665673,0.827316395453947,0.997012493975444
ss-miR-130k,-0.147114654979361,0.393958614557488,0.997012493975444
ss-miR-130z,-0.116789970521471,0.608205936238597,0.997012493975444
ss-miR-132,-0.290636621141236,0.223719462829223,0.997012493975444
ss-miR-133k,0.205587923964701,0.352399313132454,0.997012493975444
ss-miR-133z,0.0151834547999923,0.866426596956586,0.997012493975444
ss-miR-134,0.021041796238024,0.775654246936131,0.997012493975444
ss-miR-136,0.0407300360598677,0.866341533056245,0.997012493975444
ss-miR-138,-0.0414477979635518,0.659723983183782,0.997012493975444
ss-miR-1388-3p,0.254232599275008,0.294649183227608,0.997012493975444
ss-miR-139,0.0261430425598852,0.912920958350316,0.997012493975444
ss-miR-140,-0.403236145086147,0.0213675374552937,0.692235416759028
ss-miR-141,0.439450057727003,0.0601025744465628,0.807293488688478
ss-miR-142-3p,-0.494644558820019,0.0309981111747955,0.777535955301121
ss-miR-143,0.556749561766154,0.000847349580340831,0.186402352931494
ss-miR-144,-0.00816590961556877,0.91770476933699,0.997012493975444
ss-miR-145,-0.0385161851818339,0.838975342557717,0.997012493975444
ss-miR-1468,0.0419817791777383,0.825341342873357,0.997012493975444
ss-miR-146k,0.215626724711354,0.34586483559093,0.997012493975444
ss-miR-146z,-0.0423962298156897,0.80987876781004,0.997012493975444
ss-miR-147,-0.178339140601991,Na,Na
ss-miR-148k,0.326371437153003,0.0502066251490657,0.807293488688478
ss-miR-148z,0.217645368371108,0.190417387756844,0.997012493975444
ss-miR-149-3p,-0.282103743796051,0.242991458486025,0.997012493975444
ss-miR-150,-0.707440977300555,0.00247710768015275,0.186402352931494
ss-miR-151-3p,0.0383786299802583,0.788667282923536,0.997012493975444
